time_s,step_time_ms,avg_ms,max_ms,error,particles,constraints
0.100000,0.082800,0.082267,0.082800,0.000000,256,930
0.200000,0.083000,0.109108,0.244700,0.000000,256,930
0.300000,0.082800,0.100467,0.244700,0.000000,256,930
0.400000,0.081200,0.095925,0.244700,0.000000,256,930
0.500000,0.082400,0.093220,0.244700,0.000000,256,930
0.600000,0.082000,0.103442,0.445200,0.000000,256,930
0.700000,0.081800,0.100369,0.445200,0.000000,256,930
0.800000,0.081900,0.104775,0.445200,1069.534169,256,930
0.900000,0.082100,0.102387,0.445200,3825.207467,256,930
1.000000,0.081600,0.100537,0.445200,3931.459159,256,930
1.100000,0.084500,0.098874,0.445200,2367.590206,256,930
1.200000,0.242900,0.104136,0.445200,1139.025852,256,930
1.300000,0.312900,0.105382,0.445200,2133.503172,256,930
1.400000,0.081400,0.103692,0.445200,953.383464,256,930
1.500000,0.082100,0.102230,0.445200,1612.540472,256,930
1.600000,0.342500,0.105337,0.445200,1009.896841,256,930
1.700000,0.086100,0.103998,0.445200,1742.902796,256,930
1.800000,0.082300,0.102771,0.445200,1004.483347,256,930
1.900000,0.081400,0.103103,0.445200,1309.887425,256,930
2.000000,0.242000,0.103401,0.445200,1564.847144,256,930
2.100000,0.081400,0.102386,0.445200,705.533517,256,930
2.200000,0.081800,0.102667,0.445200,1458.559272,256,930
2.300000,0.082200,0.101763,0.445200,1619.487914,256,930
2.400000,0.082400,0.101817,0.445200,3135.850792,256,930
2.500000,0.082000,0.102955,0.445200,3357.207141,256,930
2.600000,0.241400,0.104196,0.445200,2241.947973,256,930
2.700000,0.082100,0.104383,0.445200,713.611603,256,930
2.800000,0.082000,0.105497,0.445200,974.942974,256,930
2.900000,0.082100,0.104686,0.445200,897.204345,256,930
3.000000,0.082000,0.104826,0.445200,1098.795499,256,930
3.100000,0.082400,0.105766,0.445200,353.315188,256,930
3.200000,0.082600,0.105021,0.445200,1055.141421,256,930
3.300000,0.081600,0.104309,0.445200,765.046369,256,930
3.400000,0.081500,0.103648,0.445200,713.154522,256,930
3.500000,0.081600,0.104544,0.445200,615.225833,256,930
3.600000,0.081900,0.103915,0.445200,910.260026,256,930
3.700000,0.081900,0.104810,0.445200,816.574085,256,930
3.800000,0.081500,0.106324,0.445200,2277.217674,256,930
3.900000,0.081500,0.107618,0.445200,2991.099500,256,930
4.000000,0.081700,0.107510,0.445200,2598.959300,256,930
4.100000,0.082300,0.106889,0.445200,1216.415456,256,930
4.200000,0.242600,0.107067,0.445200,1242.786071,256,930
4.300000,0.082000,0.107098,0.445200,575.972355,256,930
4.400000,0.081800,0.106996,0.445200,1021.713703,256,930
4.500000,0.082200,0.106441,0.445200,991.254455,256,930
4.600000,0.081600,0.105901,0.445200,648.130950,256,930
4.700000,0.081600,0.105957,0.445200,1041.245074,256,930
4.800000,0.081700,0.105452,0.445200,748.222084,256,930
4.900000,0.081500,0.105666,0.445200,1026.821655,256,930
5.000000,0.082300,0.105190,0.445200,616.155364,256,930
5.100000,0.241600,0.105280,0.445200,1821.320017,256,930
5.200000,0.242000,0.105346,0.445200,2250.698745,256,930
5.300000,0.082200,0.104916,0.445200,1752.161168,256,930
5.400000,0.081800,0.104520,0.445200,1287.336469,256,930
5.500000,0.312000,0.105297,0.445200,1220.850290,256,930
5.600000,0.241700,0.105574,0.445200,672.639584,256,930
5.700000,0.081700,0.106091,0.445200,987.517331,256,930
5.800000,0.087100,0.105689,0.445200,909.786395,256,930
5.900000,0.082300,0.105742,0.445200,759.548728,256,930
6.000000,0.249200,0.106897,0.445200,1445.367119,256,930
6.100000,0.087200,0.106940,0.445200,1739.741433,256,930
6.200000,0.242500,0.107145,0.445200,1471.383413,256,930
6.300000,0.091600,0.107194,0.445200,1358.877967,256,930
6.400000,0.081600,0.106839,0.445200,615.121167,256,930
6.500000,0.081900,0.106450,0.445200,513.834001,256,930
6.600000,0.241800,0.107129,0.445200,736.639614,256,930
6.700000,0.081800,0.107150,0.445200,593.688942,256,930
6.800000,0.242300,0.107500,0.445200,627.779238,256,930
6.900000,0.082000,0.108295,0.445200,1366.355571,256,930
7.000000,0.209800,0.108825,0.445200,1593.159516,256,930
7.100000,0.082700,0.108826,0.445200,1293.118958,256,930
7.200000,0.081800,0.108456,0.445200,807.150515,256,930
7.300000,0.081700,0.108093,0.445200,454.214001,256,930
7.400000,0.081600,0.107738,0.445200,465.485485,256,930
7.500000,0.081900,0.107394,0.445200,509.057354,256,930
7.600000,0.082300,0.107060,0.445200,365.081752,256,930
7.700000,0.082100,0.107107,0.445200,887.751612,256,930
7.800000,0.145500,0.106922,0.445200,1427.103471,256,930
7.900000,0.256500,0.107042,0.445200,1304.223500,256,930
8.000000,0.082000,0.107061,0.445200,993.183978,256,930
8.100000,0.083400,0.106894,0.445200,427.939879,256,930
8.200000,0.083100,0.106861,0.445200,432.710750,256,930
8.300000,0.082200,0.106569,0.445200,270.714950,256,930
8.400000,0.209400,0.106541,0.445200,429.019757,256,930
8.500000,0.242200,0.106851,0.445200,870.281568,256,930
8.600000,0.082300,0.106876,0.445200,1338.034384,256,930
8.700000,0.209800,0.106844,0.445200,1235.261787,256,930
8.800000,0.081600,0.106561,0.445200,820.373147,256,930
8.900000,0.081800,0.106525,0.445200,376.334303,256,930
9.000000,0.082400,0.106255,0.445200,280.725008,256,930
9.100000,0.082000,0.105989,0.445200,294.566661,256,930
9.200000,0.241700,0.106593,0.445200,433.956238,256,930
9.300000,0.089100,0.106340,0.445200,940.296959,256,930
9.400000,0.088500,0.106302,0.445200,1234.613174,256,930
9.500000,0.082000,0.106324,0.445200,1104.538293,256,930
9.600000,0.241700,0.106638,0.445200,611.082929,256,930
9.700000,0.082000,0.106382,0.445200,295.630146,256,930
9.800000,0.082000,0.106682,0.445200,139.253726,256,930
9.900000,0.082000,0.106703,0.445200,314.297119,256,930
10.000000,0.088600,0.106468,0.445200,721.123957,256,930
10.100000,0.082100,0.106225,0.445200,1070.240471,256,930
10.200000,0.081800,0.105991,0.445200,1141.776243,256,930
10.300000,0.081700,0.105831,0.445200,877.021320,256,930
10.400000,0.081900,0.105692,0.445200,408.719489,256,930
10.500000,0.093200,0.105483,0.445200,131.818764,256,930
10.600000,0.081800,0.105263,0.445200,232.272284,256,930
10.700000,0.081800,0.105121,0.445200,418.021747,256,930
10.800000,0.082200,0.105005,0.445200,926.593474,256,930
10.900000,0.242700,0.105073,0.445200,1154.975879,256,930
11.000000,0.081900,0.105108,0.445200,1005.439096,256,930
11.100000,0.082400,0.104908,0.445200,605.626307,256,930
11.200000,0.081600,0.104703,0.445200,259.638065,256,930
11.300000,0.081400,0.104747,0.445200,174.514077,256,930
11.400000,0.242100,0.104781,0.445200,240.189873,256,930
11.500000,0.082000,0.104610,0.445200,624.268320,256,930
11.600000,0.241900,0.105289,0.445200,1046.430966,256,930
11.700000,0.082300,0.105090,0.445200,1142.374255,256,930
11.800000,0.089600,0.104911,0.445200,836.141133,256,930
11.900000,0.126100,0.104780,0.445200,399.363746,256,930
12.000000,0.081500,0.105119,0.445200,96.153748,256,930
12.100000,0.081800,0.105376,0.445200,205.291772,256,930
