# solver_mode=flat_xpbd
# particles=256
# constraints=930
# substeps=10
# grid=16x16
# stiffness=10000
time_s,step_time_ms,avg_ms,max_ms,error,particles,constraints
0.100000,0.087600,0.103850,0.184000,0.000000,256,930
0.200000,0.099600,0.096925,0.184000,0.000000,256,930
0.300000,0.088400,0.094117,0.184000,0.000000,256,930
0.400000,0.087600,0.099529,0.258100,0.000000,256,930
0.500000,0.258700,0.102813,0.258700,0.000000,256,930
0.600000,0.087300,0.100322,0.258700,0.000000,256,930
0.700000,0.087300,0.102555,0.258800,0.000000,256,930
0.800000,0.258400,0.104244,0.258800,1069.530310,256,930
0.900000,0.087900,0.102413,0.258800,3825.114755,256,930
1.000000,0.087200,0.101005,0.258800,3931.330329,256,930
1.100000,0.087400,0.099764,0.258800,2367.536421,256,930
1.200000,0.087400,0.108078,0.258800,1138.887579,256,930
1.300000,0.182300,0.109887,0.258800,2133.397960,256,930
1.400000,0.087000,0.110315,0.258800,953.294671,256,930
1.500000,0.086800,0.108773,0.258800,1612.450570,256,930
1.600000,0.087000,0.109188,0.258800,1009.794341,256,930
1.700000,0.086900,0.107884,0.258800,1742.808930,256,930
1.800000,0.086900,0.106739,0.258800,1004.435741,256,930
1.900000,0.087000,0.105704,0.258800,1309.787958,256,930
2.000000,0.089100,0.104783,0.258800,1564.771912,256,930
2.100000,0.086900,0.103940,0.258800,705.477117,256,930
2.200000,0.087000,0.103176,0.258800,1457.917455,256,930
2.300000,0.087100,0.102517,0.258800,1619.312341,256,930
2.400000,0.086900,0.101876,0.258800,3135.618288,256,930
2.500000,0.222800,0.102189,0.258800,3356.862484,256,930
2.600000,0.087000,0.101607,0.258800,2241.429885,256,930
2.700000,0.087000,0.101076,0.258800,713.544471,256,930
2.800000,0.087200,0.100582,0.258800,974.713129,256,930
2.900000,0.087500,0.100132,0.258800,896.868065,256,930
3.000000,0.087500,0.099700,0.258800,1098.601866,256,930
3.100000,0.087100,0.099299,0.258800,353.257410,256,930
3.200000,0.257800,0.099811,0.258800,1054.850169,256,930
3.300000,0.087500,0.099446,0.258800,764.857314,256,930
3.400000,0.257800,0.100750,0.258800,713.095480,256,930
3.500000,0.087300,0.100355,0.258800,614.921024,256,930
3.600000,0.087100,0.100000,0.258800,910.058746,256,930
3.700000,0.090100,0.099848,0.258800,817.564656,256,930
3.800000,0.087300,0.099513,0.258800,2278.662446,256,930
3.900000,0.087100,0.099197,0.258800,2990.384509,256,930
4.000000,0.089400,0.098907,0.258800,2597.597576,256,930
4.100000,0.087100,0.098622,0.258800,1214.739540,256,930
4.200000,0.086900,0.099025,0.258800,1243.090832,256,930
4.300000,0.087400,0.098774,0.258800,575.733564,256,930
4.400000,0.087400,0.098516,0.258800,1021.170902,256,930
4.500000,0.257300,0.098894,0.258800,990.686307,256,930
4.600000,0.086600,0.098632,0.258800,649.395358,256,930
4.700000,0.087100,0.098387,0.258800,1040.057304,256,930
4.800000,0.087200,0.098161,0.258800,748.220689,256,930
4.900000,0.087400,0.097933,0.258800,1027.013974,256,930
5.000000,0.087200,0.097751,0.258800,619.590910,256,930
5.100000,0.086900,0.097545,0.258800,1822.445352,256,930
5.200000,0.087000,0.097341,0.258800,2248.951940,256,930
5.300000,0.087600,0.097691,0.258800,1747.114032,256,930
5.400000,0.087400,0.097497,0.258800,1283.357348,256,930
5.500000,0.087000,0.097331,0.258800,1221.087605,256,930
5.600000,0.087100,0.097146,0.258800,669.038972,256,930
5.700000,0.087700,0.096969,0.258800,986.411706,256,930
5.800000,0.087100,0.096795,0.258800,909.409864,256,930
5.900000,0.087100,0.096631,0.258800,764.746044,256,930
6.000000,0.086700,0.096472,0.258800,1443.576483,256,930
6.100000,0.086900,0.096318,0.258800,1741.887394,256,930
6.200000,0.086900,0.096168,0.258800,1469.679815,256,930
6.300000,0.086700,0.096025,0.258800,1353.754738,256,930
6.400000,0.087400,0.095889,0.258800,618.071724,256,930
6.500000,0.087100,0.095754,0.258800,513.214844,256,930
6.600000,0.086800,0.096052,0.258800,733.988025,256,930
6.700000,0.087000,0.095917,0.258800,595.399149,256,930
6.800000,0.087000,0.095790,0.258800,630.153589,256,930
6.900000,0.087900,0.095799,0.258800,1367.437419,256,930
7.000000,0.086900,0.096085,0.258900,1591.762370,256,930
7.100000,0.089900,0.095965,0.258900,1291.165196,256,930
7.200000,0.087000,0.096237,0.258900,802.516858,256,930
7.300000,0.089100,0.096118,0.258900,455.403260,256,930
7.400000,0.257800,0.096386,0.258900,462.991310,256,930
7.500000,0.087400,0.096641,0.258900,508.641463,256,930
7.600000,0.089400,0.096524,0.258900,367.408289,256,930
7.700000,0.087900,0.096494,0.258900,893.774413,256,930
7.800000,0.087200,0.096377,0.258900,1428.204363,256,930
7.900000,0.087000,0.096620,0.258900,1301.525207,256,930
8.000000,0.087200,0.096858,0.259000,985.952058,256,930
8.100000,0.087300,0.096738,0.259000,422.923343,256,930
8.200000,0.087500,0.096621,0.259000,430.451850,256,930
8.300000,0.086700,0.096504,0.259000,269.293698,256,930
8.400000,0.086800,0.096389,0.259000,429.139033,256,930
8.500000,0.086900,0.096282,0.259000,876.963180,256,930
8.600000,0.087100,0.096176,0.259000,1342.732902,256,930
8.700000,0.086600,0.096073,0.259000,1230.351968,256,930
8.800000,0.087200,0.095987,0.259000,815.386357,256,930
8.900000,0.086900,0.095888,0.259000,371.355324,256,930
9.000000,0.087500,0.095793,0.259000,279.289109,256,930
9.100000,0.086800,0.095697,0.259000,295.466209,256,930
9.200000,0.087000,0.095602,0.259000,442.009999,256,930
9.300000,0.087600,0.095819,0.259000,948.603130,256,930
9.400000,0.087200,0.095725,0.259000,1237.802286,256,930
9.500000,0.086900,0.095633,0.259000,1100.271779,256,930
9.600000,0.087400,0.095543,0.259000,601.312772,256,930
9.700000,0.086800,0.095453,0.259000,291.629108,256,930
9.800000,0.087300,0.095369,0.259000,138.066503,256,930
9.900000,0.087200,0.095297,0.259000,318.260847,256,930
10.000000,0.087700,0.095219,0.259000,730.048561,256,930
10.100000,0.086900,0.095422,0.259000,1076.664968,256,930
10.200000,0.087200,0.095618,0.259000,1141.802920,256,930
10.300000,0.087100,0.095534,0.259000,870.472362,256,930
10.400000,0.087400,0.095452,0.259000,400.367805,256,930
10.500000,0.087300,0.095376,0.259000,132.318015,256,930
10.600000,0.087700,0.095303,0.259000,231.935463,256,930
10.700000,0.087100,0.095227,0.259000,426.510408,256,930
10.800000,0.087200,0.095154,0.259000,934.562464,256,930
10.900000,0.087600,0.095083,0.259000,1157.781736,256,930
11.000000,0.087200,0.095011,0.259000,1001.381363,256,930
11.100000,0.086900,0.094939,0.259000,597.753850,256,930
11.200000,0.087300,0.095122,0.259000,254.992449,256,930
11.300000,0.086600,0.095301,0.259000,173.294288,256,930
11.400000,0.087200,0.095230,0.259000,243.890639,256,930
11.500000,0.087700,0.095168,0.259000,632.734224,256,930
11.600000,0.087000,0.095099,0.259000,1052.824159,256,930
11.700000,0.087000,0.095276,0.259000,1142.156980,256,930
11.800000,0.087000,0.095209,0.259000,829.752875,256,930
11.900000,0.087400,0.095145,0.259000,391.467978,256,930
12.000000,0.087000,0.095078,0.259000,94.148578,256,930
12.100000,0.087400,0.095013,0.259000,205.904984,256,930
12.200000,0.087400,0.094950,0.259000,408.573166,256,930
12.300000,0.089700,0.095120,0.259000,825.033690,256,930
12.400000,0.087600,0.095073,0.259000,1080.849849,256,930
12.500000,0.086900,0.095238,0.259000,1032.926283,256,930
12.600000,0.087500,0.095175,0.259000,642.780254,256,930
12.700000,0.258700,0.095339,0.259000,238.154407,256,930
12.800000,0.087200,0.095277,0.259000,160.603955,256,930
12.900000,0.087100,0.095221,0.259000,237.528566,256,930
13.000000,0.087100,0.095173,0.259000,637.503096,256,930
13.100000,0.087000,0.095112,0.259000,966.236007,256,930
13.200000,0.087900,0.095053,0.259000,1052.163572,256,930
13.300000,0.088100,0.094999,0.259000,836.883502,256,930
13.400000,0.087000,0.094941,0.259000,467.884332,256,930
13.500000,0.086900,0.095095,0.259000,133.890586,256,930
13.600000,0.087200,0.095039,0.259000,162.272356,256,930
13.700000,0.086900,0.094980,0.259000,378.726488,256,930
13.800000,0.087200,0.094924,0.259000,812.527505,256,930
13.900000,0.087600,0.094926,0.259000,1053.229549,256,930
14.000000,0.134900,0.094988,0.259000,965.057699,256,930
14.100000,0.087500,0.095053,0.259000,636.136148,256,930
14.200000,0.087200,0.094999,0.259000,277.308751,256,930
14.300000,0.087000,0.094944,0.259000,171.104543,256,930
14.400000,0.087700,0.094892,0.259000,214.541269,256,930
14.500000,0.087400,0.094839,0.259000,568.032524,256,930
14.600000,0.087600,0.094788,0.259000,922.520241,256,930
14.700000,0.087400,0.094872,0.259000,1054.026898,256,930
14.800000,0.087500,0.094821,0.259000,835.187596,256,930
14.900000,0.087200,0.094824,0.259000,456.627566,256,930
15.000000,0.086900,0.094772,0.259000,185.180740,256,930
