# solver_mode=hierarchical
# particles=4096
# constraints=16002
# substeps=10
# grid=64x64
# stiffness=10000
time_s,step_time_ms,avg_ms,max_ms,error,particles,constraints
0.100000,4.752400,4.741117,4.759200,0.000000,4096,16002
0.200000,4.839200,4.778917,4.941800,0.000001,4096,16002
0.300000,4.784600,4.783511,4.941800,0.000001,4096,16002
0.400000,4.792500,4.808758,5.291800,0.000002,4096,16002
0.500000,4.781100,4.801683,5.291800,0.000001,4096,16002
0.600000,4.742700,4.798344,5.291800,0.000002,4096,16002
0.700000,4.813000,4.793526,5.291800,0.000002,4096,16002
0.800000,4.786500,4.790298,5.291800,0.000001,4096,16002
0.900000,4.752700,4.798413,5.435700,0.000002,4096,16002
1.000000,4.758000,4.804360,5.435700,0.000002,4096,16002
1.100000,4.763200,4.815224,5.543900,0.000001,4096,16002
1.200000,4.761900,4.833856,5.698900,0.000001,4096,16002
1.300000,4.769700,4.828890,5.698900,0.000001,4096,16002
1.400000,4.816100,4.825175,5.698900,0.000001,4096,16002
1.500000,4.786800,4.838087,5.698900,0.000001,4096,16002
1.600000,5.335800,4.866832,5.698900,0.000001,4096,16002
1.700000,4.793600,4.862815,5.698900,23429.924824,4096,16002
1.800000,5.040400,4.873782,5.698900,48038.520561,4096,16002
1.900000,4.754600,4.873818,5.698900,73089.331188,4096,16002
2.000000,4.860700,4.874261,5.698900,98487.925709,4096,16002
2.100000,4.939000,4.870836,5.698900,124079.369695,4096,16002
2.200000,4.847400,4.868682,5.698900,149012.819554,4096,16002
2.300000,4.784700,4.865286,5.698900,158716.045415,4096,16002
2.400000,4.804600,4.871462,5.698900,158930.001596,4096,16002
2.500000,5.229900,4.870613,5.698900,160868.948917,4096,16002
2.600000,4.721200,4.877358,5.698900,158830.236648,4096,16002
2.700000,4.816000,4.885413,5.703400,152059.157605,4096,16002
2.800000,4.791300,4.885820,5.703400,144361.106993,4096,16002
2.900000,4.856400,4.882467,5.703400,135577.174527,4096,16002
3.000000,4.816300,4.881308,5.703400,125576.550099,4096,16002
3.100000,4.825900,4.879023,5.703400,111097.404661,4096,16002
3.200000,4.805600,4.878446,5.703400,93828.237973,4096,16002
3.300000,4.791300,4.875595,5.703400,70479.765914,4096,16002
3.400000,5.607100,4.883250,5.703400,44939.503424,4096,16002
3.500000,4.789000,4.880508,5.703400,32334.861089,4096,16002
3.600000,5.839200,4.882493,5.839200,53460.140900,4096,16002
3.700000,4.751100,4.880681,5.839200,67186.186803,4096,16002
3.800000,4.768200,4.878655,5.839200,72367.736824,4096,16002
3.900000,4.788400,4.876165,5.839200,65690.669080,4096,16002
4.000000,4.753900,4.873640,5.839200,53390.533279,4096,16002
4.100000,4.808600,4.870998,5.839200,45298.084252,4096,16002
4.200000,4.794000,4.869533,5.839200,52732.850027,4096,16002
4.300000,4.757500,4.872672,5.839200,58668.151257,4096,16002
4.400000,4.815500,4.870452,5.839200,50716.285329,4096,16002
4.500000,4.843300,4.868596,5.839200,47186.775129,4096,16002
4.600000,4.792600,4.868225,5.839200,46336.426154,4096,16002
4.700000,4.787900,4.866220,5.839200,58613.806342,4096,16002
4.800000,4.784900,4.864375,5.839200,68742.409834,4096,16002
4.900000,4.783000,4.862911,5.839200,69986.728984,4096,16002
5.000000,4.794300,4.861372,5.839200,57200.588230,4096,16002
5.100000,5.072400,4.866975,5.839200,32460.974372,4096,16002
5.200000,4.965900,4.867837,5.839200,25910.934493,4096,16002
5.300000,4.834400,4.867427,5.839200,44906.101943,4096,16002
5.400000,4.789500,4.866074,5.839200,60837.418835,4096,16002
5.500000,4.731400,4.865129,5.839200,64048.662609,4096,16002
5.600000,4.838500,4.864797,5.839200,63763.501202,4096,16002
5.700000,4.852600,4.864421,5.839200,57797.306974,4096,16002
5.800000,4.781300,4.863333,5.839200,56053.344589,4096,16002
5.900000,4.887700,4.862991,5.839200,62078.362009,4096,16002
6.000000,4.766600,4.861932,5.839200,60936.169560,4096,16002
6.100000,4.769600,4.861078,5.839200,52675.864072,4096,16002
6.200000,5.864500,4.866087,5.864500,57523.654349,4096,16002
6.300000,4.785400,4.864942,5.864500,85025.693371,4096,16002
6.400000,4.790800,4.864187,5.864500,113822.657893,4096,16002
6.500000,4.764800,4.866133,5.879000,123924.402743,4096,16002
6.600000,4.781000,4.864789,5.879000,132658.265703,4096,16002
6.700000,5.917700,4.866717,5.917700,141959.981901,4096,16002
6.800000,4.779700,4.868780,5.917700,151641.431217,4096,16002
6.900000,5.674000,4.869602,5.917700,154539.945448,4096,16002
7.000000,5.175100,4.871977,5.917700,150527.038291,4096,16002
7.100000,4.780300,4.870982,5.917700,147665.317954,4096,16002
7.200000,5.654600,4.874020,5.917700,143191.735152,4096,16002
7.300000,4.848200,4.875572,5.917700,131351.375467,4096,16002
7.400000,4.769300,4.874908,5.917700,115225.595930,4096,16002
7.500000,4.824400,4.874664,5.917700,94395.804299,4096,16002
7.600000,4.785600,4.874123,5.917700,70952.660940,4096,16002
7.700000,4.821300,4.873066,5.917700,58161.114287,4096,16002
7.800000,5.889400,4.876541,5.917700,54715.622960,4096,16002
7.900000,4.796800,4.876495,5.917700,47207.989385,4096,16002
8.000000,4.831700,4.879339,5.990000,46153.617925,4096,16002
8.100000,4.780200,4.882972,5.990000,53908.057674,4096,16002
8.200000,4.792300,4.882036,5.990000,55998.223316,4096,16002
8.300000,4.892000,4.881414,5.990000,54679.390457,4096,16002
8.400000,4.763000,4.882825,5.990000,53237.431838,4096,16002
8.500000,5.828200,4.884200,5.990000,54150.960909,4096,16002
8.600000,5.769100,4.885583,5.990000,45795.173627,4096,16002
8.700000,4.770900,4.884423,5.990000,30393.467489,4096,16002
8.800000,6.032900,4.888047,6.032900,39596.548513,4096,16002
8.900000,5.234800,4.888043,6.032900,52570.201849,4096,16002
9.000000,5.849700,4.888882,6.032900,58724.001345,4096,16002
9.100000,5.858300,4.892152,6.032900,50644.538085,4096,16002
9.200000,4.811600,4.891326,6.032900,46954.349767,4096,16002
9.300000,5.436300,4.891249,6.032900,52991.186252,4096,16002
9.400000,4.782900,4.892614,6.032900,50922.278554,4096,16002
9.500000,4.810600,4.891685,6.032900,43710.578073,4096,16002
9.600000,4.768800,4.892766,6.032900,40880.977651,4096,16002
9.700000,4.762900,4.893296,6.032900,41258.969958,4096,16002
9.800000,6.001500,4.896065,6.032900,39683.725339,4096,16002
